UgyfelNeve;SzamlafizetoAzonosito;Szamlasorszam;SzamlaOsszeg
Feher Monika;2011683484;87857763;119934.96
Lakatos Katalin;2032799216;88616748;35719.71
Nagy Adam;2043145406;89032415;45674.76
Gulyas Csaba;2055870618;87717983;88809.9
Molnar Adam;2063204491;88047642;110855.56
Boros Istvan;2071248721;84254485;104353.1
Simon Norbert;2076018860;86257345;30512.42
Horvath Norbert;2083720297;87393621;65780.77
Nagy Ferenc;2083789524;84433439;84396.32
Hegedus David;2086289891;89551289;186375.0
Feher Monika;2087197055;87493308;123132.49
Toth Judit;2089713890;81194588;142023.41
Papp Erika;2092450316;87414656;86598.99
Kiss Monika;2094445803;81158639;49675.11
Juhasz Gabriella;2111176513;87365524;3212.59
Meszaros Orsolya;2113488581;86729464;118706.72
Horvath Hanna;2125020673;82880761;33880.17
Hegedus Adam;2126586352;88032659;133038.05
Feher Zoltan;2131872542;86005226;116423.91
Farkas Peter;2143101717;82322397;129269.34
Farkas Katalin;2145612763;89757702;49506.66
Szabo Norbert;2160277470;81112641;3626.4
Boros Katalin;2179319301;81231657;92821.33
Boros Peter;2179859735;84631270;193420.82
Simon Zoltan;2193563113;87441018;44339.26
Gulyas Ferenc;2196219875;87385041;107401.68
Lakatos Gabriella;2200681783;81943142;134619.12
Kovacs Csaba;2203221567;82411820;131667.93
Hegedus Hanna;2212943511;83644481;181513.64
Nagy Gabriella;2230896239;83907407;42499.17
Juhasz David;2231530877;89047018;56242.64
Horvath Erika;2248677149;85703515;167382.72
Feher Timea;2252833982;85726511;21590.04
Fodor Hanna;2253585092;85842056;194598.9
Simon Erika;2270571966;85142590;138236.91
Boros Adam;2274509129;83880170;191329.05
Varga Csaba;2278901890;86046950;20142.68
Gulyas David;2280735932;85733138;64187.86
Feher Sandor;2299644820;81154806;141893.71
Boros David;2356261922;80865715;139746.68
Feher Norbert;2357963114;85473726;67309.96
Varga Judit;2359628874;85001505;76441.41
Fodor Timea;2374105174;89817138;196553.57
Meszaros Hanna;2376566714;85526088;32183.26
Gulyas Katalin;2379282461;81399822;74762.3
Nagy Peter;2389743756;84908632;87619.99
Molnar Orsolya;2396011837;84752512;34185.17
Juhasz Katalin;2399957385;84485212;63349.26
Szabo Judit;2410220454;87298751;121606.81
Nagy Peter;2425503641;82295922;102162.69
Kovacs Erika;2430416598;88212560;54610.64
Fodor Bence;2430744197;86450425;11780.06
Feher Orsolya;2456154016;84865662;87247.61
Fodor Hanna;2480768298;86706736;164636.35
Gulyas Timea;2490437711;84766122;20446.56
Boros Istvan;2498107698;87195078;76359.93
Boros Hanna;2498873364;87745574;60473.61
Simon Laszlo;2504115020;83225343;48570.16
Gulyas David;2507602140;82351050;66057.86
Lakatos Hanna;2511146014;85951158;131592.35
Kovacs Sandor;2519376902;88907141;42401.03
Kovacs Erika;2522600273;80133381;77426.26
Gulyas Istvan;2585111207;84912190;178307.04
Balogh Ferenc;2592182345;85156824;150045.92
Toth Hanna;2607440721;88794621;24469.53
Feher Erika;2610640359;80380014;24770.02
Nagy Csaba;2613680044;82916097;188063.28
Horvath Laszlo;2616567738;85549795;161535.08
Juhasz Adam;2631245045;84984382;150387.37
Kovacs Timea;2640849268;82870718;25869.62
Boros Orsolya;2642432721;81002997;143087.75
Toth Katalin;2663091174;83473132;173908.85
Meszaros Adam;2674743714;88311623;21732.57
Meszaros Renata;2677202436;84275578;83915.4
Kiss Zoltan;2682715369;87645440;134018.35
Molnar Orsolya;2685068213;81610819;115916.55
Papp Erika;2688559884;86519292;16263.47
Szabo Judit;2690269834;80263503;47207.65
Molnar Laszlo;2692454018;84783322;171684.73
Balogh Judit;2724171437;88210146;177430.43
Molnar Katalin;2724720072;83090303;81273.07
Toth David;2730187785;87104323;12936.53
Varga Judit;2733550164;87431580;16485.92
Kiss Erika;2734986114;83785536;10336.69
Horvath David;2739513130;83415668;89666.22
Kiss Judit;2739858618;83725360;42204.5
Molnar Erika;2740563769;83073642;110598.9
Papp Ferenc;2755264131;82046809;134934.84
Feher David;2758101039;88502660;99468.58
Juhasz Csaba;2762611845;84973007;92321.21
Molnar Bence;2768658812;84482859;163788.58
Farkas Hanna;2786570688;89201097;133245.89
Varga Hanna;2786675524;88031694;77285.67
Boros Sandor;2787103956;89474339;157761.26
Fodor Laszlo;2790254085;85564990;61788.22
Gulyas Monika;2800928798;81752307;136540.77
Simon Ferenc;2823141372;83835716;114289.04
Kiss Erika;2827945367;80125536;90057.87
Balogh Ferenc;2842849511;84149422;84127.54
Gulyas Gabriella;2844903339;83259586;136318.1
Varga Gabriella;2850768291;83702210;16397.5
Kiss Erika;2852214410;88055474;106140.49
Juhasz Norbert;2856958498;80613441;3443.08
Juhasz Bence;2876555098;89532999;10396.52
Juhasz Sandor;2891985508;87507056;185503.01
Juhasz Zoltan;2895729374;82783355;99910.68
Nagy Csaba;2898099864;86955617;19440.8
Papp Gabriella;2906552686;88874537;105939.26
Horvath Erika;2921381531;83899141;80969.0
Papp Zoltan;2924881038;80540994;45990.76
Szabo Judit;2950379681;85669134;76842.91
Simon Ferenc;2952715416;89946249;37945.97
Simon Orsolya;2953343914;88858326;96603.63
Boros Istvan;2968330965;85803450;192729.51
Gulyas Erika;2970157895;84258882;86606.89
Feher Renata;2972469502;84152553;31969.61
Varga Monika;2984296701;85749980;176821.72
Simon Sandor;2986581225;87116919;118518.54
Gulyas Zoltan;2993883463;85564316;108975.26
Kiss Erika;2827945367;85266757;29944.67
Boros Istvan;2071248721;80827190;137979.35
Kovacs Csaba;2203221567;82263553;105472.18
Gulyas Ferenc;2196219875;81367984;70899.45
Kovacs Csaba;2203221567;86775128;127770.42
Kovacs Erika;2522600273;83260077;28813.68
Kiss Istvan;2996765885;86183523;53245.58
Feher Norbert;2357963114;81493060;3934.79
Balogh Csaba;2910070113;81760159;143877.02
Meszaros Hanna;2376566714;85621461;43461.95
Varga Csaba;2278901890;87690511;191701.32
Kovacs Orsolya;2216928293;80613484;184263.4
Feher Erika;2610640359;83291653;129360.79
Toth Judit;2089713890;86244107;108574.66
Boros Adam;2274509129;88540922;24253.92
Meszaros Hanna;2376566714;88117049;163489.62
Feher Norbert;2357963114;85061413;94135.36
Simon Timea;2494392203;80066495;22372.46
Simon Sandor;2986581225;88866709;196078.26
Varga Gabriella;2850768291;81487234;113625.4
Lakatos Gabriella;2200681783;83390562;73950.26
Gulyas Timea;2490437711;84579682;133182.08
Molnar Katalin;2724720072;81962577;40349.5
Fodor Bence;2430744197;88698308;150836.34
Farkas Erika;2977620454;87778183;24316.38
Simon Zoltan;2193563113;84569712;30486.52
Toth Hanna;2607440721;89101263;8743.59
Fodor Gabriella;2708554901;84653249;152508.25
Kovacs Erika;2522600273;87827141;49005.9
Balogh Katalin;2632898592;86143266;155207.02
Meszaros Renata;2677202436;84558762;112729.28
